Sentence,Tag
@tarikniazai MashALllah  Humari Army Duniya ki Best Army hai #Sarcasm @omar_quraishi @Pakistan_Army,0
Madam jab BJP ki baat aati hai to saara Sach ko Politics boldene ka aur jab Opposition ke against Selective action hota hai wo Sach hota hai,0
Aap logo se bahut ummid hai. Jaan maal ka nuksan na ho or shaanti bani rahe. Vote ki politics baad mai bhi hogi.,0
Har cheez ko party politics ki lens se dekhna shayad aapki aadat ban gayi hai kuch cheezen logon ki nazron se bhi dekhne ki koshish kariye,0
Ye Jo rahila parveen itni active dikh Rahi hai kya inhone triple talaq aur halala pe bhi kuch bola hai kya?,0
#Indian #Cricket ki team bhi fatafat aa rahi hai for @Gurmeetramrahim #RamRahimVerdict #60MillionStandWithMSG #DeraSachaSauda #IndvsSLpic.twitter.com/3LYB4Lzwb8,0
Are bhaiii...jaise Mumbai chhodke saare India ko tumne jannat banayi hai jaise...tum bus politics karo...madad mat karo..,0
jo log din raat print/electronic media par apni har baat bolte h even fantasies bhi vo ye bol rahe h ki unhe bolne nahi diya ja raha #Irony,1
Phele pata kar tere kitne baap hai qki triple talaq band hogaya hai court ne decision de diya hai,0
Abe chutiye yaha bache mar gaye aur tujhe har cheez me ghatiya politics karni h. Khud ki bezzti hui to dusro ka naam lena shuru zabardasti,0
Desh ka hero Achhe politics ka bavisyu i aap Bagvan aap ko sahi salamat rake. Jai hind. Vande mataram #HappyBirthdayJantaKaCM,0
#Bollywood #Desi #Hottie Shriya Saranpic.twitter.com/BNrik2oGtE,0
"Pehlay tumhari sarkar kuch ker nahi parti, aur baat main janta k paise ko day ker hero ban jatay ho #India #Politics",0
inhone likhi hariyane ki kahani world mai   cricket & kushti,0
#TripleTalaq se Aazadi pic.twitter.com/PjgNYekBEU #TripleTalaqOver #onenationonelaw #uccnext,0
Jo noon wale ayesha gulu ke saath hai sub he zaleel ho rahy haneef abbasi drug case mei ja raha raha andr.. Politics karo Mardo ke trah,0
"#VeeruPanti cricket me dhoni aur commentry me veeru, dekhne ka maja hi kuch aur hai #INDvAUS #MSDhoni #Sehwag",0
Tera 100 baap bhi Modi ko nhi rok skta ucc lane se.. Bs thoda intezaae kr.. Phle triple talaq nipta lene do,0
Ye #bjpbhakts toh harr mauke ko pakad rahe Hain!  #RamRahimSingh #TripleTalaq Haan modiji judge Hai na court mein jaise,0
"Nitish kumar ne lalu family ko bihar ki politics se 15 ya 20 saal ke liye bahar kiya tha , ab phir se yahi hone wala hai .",0
#Pakistan #Cricket #World11 @SarfarazA_54  @realshoaibmalik @RealFakharZaman @iamAhmadshahzad   Zindabad pakistani Keep it up pakistanipic.twitter.com/k8C2t1kynD,0
Aagar madad ki achi baat hai Bjp jorne se madad budh gayi.mutlab badh mai bhi party politics shame,0
#nowplaying Ho raha bharat nirmaan on tv #irony,0
Bahenchod achha hai ki leave kar raha hai aur tu bakaiti kar raha hai ki Bollywood k wajah se nahi kar raha  abe agar koi star chahle togaya,0
"While @RedChilliesEnt bring #JabHarryMetSejal, #RajahSpices is adding a #Foodie twist with Jab Punjabi Kadhi meets Gujarati Kadhi #Bollywood pic.twitter.com/XPNymmCwDM",0
Okaa ammaki abba ki puttinattainaithe ah politics tappaka chiranjeevi garini vere vishayam lo vimarsinchagalava??,0
Jaha jaroorihoga waha jaroori hogo kya politics jati perAadharithai,0
Aye hoye ... Mullas and triple talaq par to #Freedomofpress keh ke chup thi ...,0
"""Ek se bhale do, do se bhale teen aur teen se bhale cricket ki family ek Saath."" Something never changed!  #IndvsSL #MSDhoni #MSD @msdhonipic.twitter.com/rar2AOoHXQ",0
jo hua uske bare me kuch boliye. 1978 se ye horah he ye sab pilitics badme dekhenge. Kisine sach kaha he politics me aan he to sharam chodo,0
Kuch bhi bologe kya pagla gaye ho kya... Ek cricket team ko bhagwan se compare kar rahe ho... Bhang khayi hai kya...,0
Bhai aaj to fir @narendramodi sir ne gzb kr diya ab kaun jhut bologe eis pe..chaina se amjhauta kr liya.politics mai baap h.wo tmsb ka,0
Darbhanga ke mp ek true sportsman hai jo har paristhitiy on me accha  khelte hai.politics kam aur kaam jyada karne me vishwash rakhte hai.,0
"Vote bank politics maat khel yahan!!! SC already religion base me vote mana kar chuka Hai, Kahin yese waje bhi band na karde",0
Kya Aaj tak wale TV chod diye Bollywood Jane ki soch h kya to aachchi soch hi jaao,0
"Help, support, #kindness  aajkal bahut rare dikhte Hai.. Gaye to Gaye kaha?? #FridayFeeling #Sarcasm",1
RT @defamable: @OfficeOfRG Jaise India mein bohot kaam hai tumhe.  #sarcasm,1
Abhi bhi politics  kar rahe hain sab log!  Kar lo jo krna hai lekin wo bachche ab wapis nhi aa sakte!,0
chalta hai chalne do. Lutoo aur Lutne do. Chutiya ho sabko Chutiya rahne do. Ye 80 wali politics nahi chalegi. Dikaton se bhagte nahi hain,0
Bhai wali ehad aap politics pe aik doosray ko abuse kar rahay ho. Unbelievable,0
Hamare bharat me sant ke paribhasha he badal jati hai... crore ke property haasil karne wale baba ke kami nahi.. Politics me bhi sant hai..,0
But bro Dubai me zyaadatar log almost 90% ta indian hi hote hai jo bollywood films dekhte hai.. jo wahan pe settled hai,0
Sheesh! @AnggaAdhitya #IKHLAS #PositivityIsTheKey ---> #sarcasm,0
@ZeeNew Triple talaq dainai walo ko saja dainai baat nahi kiya ja Raha hai,0
Cricket ka match bhi Shatranj Ki Tarah Khela jata hai #Dhoni #Bhuvneswar,0
#TripleTalaq koi fayada nahi log Apne man se chalte hai koi law koi fayada nahi.,0
Cricket Main TaBDeeli FrancHies & SpoNcer Ki WajaH Se Aa RaHi Hai. KaHa Gaya K FrancHies Lene K Liye Koi Tayyar NaHi Hoga NajaM SeTTHi #MujT,0
@ShoutingGod kya kare!! Hum diet bhi kare toh unhe bura lag jata h. Aur wt gain k bare me zyada taunt karnewali bhi wahi #irony,1
Ye sab ladies bhi apne paiso se kharid to nhi liya taki unk aage badne par ap apni gandi politics karo yahi kaam hai ap sab bjp ka,0
"Rawalpindi: Pakistan Me #WorldXI Cricket Team Ko Khushamdeed Kahtay Hain,Pur Aman Aur Khail Pasand Qaum Maizbani Ko Baytab Hai, DG ISPR",0
#Irony about life: 'Raat ko soya nahi jaata aur subah utha nahi jaata',1
Koi mauka mat chhorna politics ka.iske bahane tum national flage nhi uthaye hoge achha h.or chato khangress ki,0
"Kuch kaam roz karo to addiction ban jati hai...Bachpan se padh rahi hu, aajtak addict nahi huyi. #Irony",1
Insaan Chaand pe pohanch gaya but Abhi bhi Log #PPP aur #PML(N) ko support karte hain #Irony,1
"Sir movie nahi dekhte kya  kangna ranaut hai, inke rishtedaar door door tak bollywood me kabhi kaam nahi kiye",0
Jo bhi ho usweqt k Hero Dr kafeel khan hi hai jo  usweqt jo bhi kar sakte the kiya ab toh Bus politics ho rahi hai,0
Bakshe tu jo pyaar se mujhko toh ho meri rihaai... Main bhi naachu!   #GuessTheSong #Bollywood @BeingSalmanKhan,0
Saddam teri ghar ki kahani yahan public me batake koi fayada nahi ...Ammi ko bacha Triple Talaq se,0
abey suwar ' strict law' kahan likha . Clear bolna ki triple talaq ban mat karo . Bas pichey se vaar karna tum log .,0
Koi baat nahi dum tu bahut h beta. Bus Abe dekhte jao tum. Abe tumhare aami l liye gd news same valo h. Triple talaq. Aisi h marnege tumhari,0
Jo mar Gaye unko Pushpanjali aur Jo jinda hai unki koi parvah nahi ye hai Indian politics. Waah,0
"Actores de #Bollywood, Rani Mukherjee, Hrithik Roshan and Kareina Kapoor. #RaniMukherjee #HrithikRoshan #KareinaKapoorpic.twitter.com/7oLKIQ0cvF",0
"Waise ek or kamaal ki baat h, jab se kisan andolan shuru hua h triple talaq hi ruk gya h. Is ka credit kis ko jayega?",0
Aap jaise logo Kai dange karwane or bhawnao ko bhadkane sai kahi behtar hain..har jagah sirf Ghatiya politics..ram or Rahim kou tou baksh do,0
Sahi kaha apne ye politics h kuch bhi ho sakta h,0
"Ram Mandir,Ghar Wapasi,Love jihad,Triple Talaq,Bharat Mata ki jai,Vande Mataram & Gau Raksha se to furasat milne do fir China ko dekhte hai",0
Tujhe triple talaq ya kulbhushan Jadhav discuss karna hai toh bhi chalega,0
Chinese President Tweets in Hindi KaminoTumhara triple talaq aur Ram Rahim ka topic khatam ho jaye tho meri dhamki pur bhi focus Karna,0
Sir ji  Khuda gawha he aap ka Silsila  mohabathen se Ek rishta banaya aap ne  Mard ho aap Deewar jaisa aap ne bollywood ko kuch sikhaya he..,0
Kuch bhi .. Har koi kisi ka agent hai .. ye toh politics ni toh IT professionals ni hote ye log..,0
"Educated vayera kehi hudaina, nepal ko jasto politics vako vaye kaalo jaati ko chhuttai rajya chahiyo vanera danga hunthyo.. Haha",0
"Islam khatre main hai,Muslim auraton ne hi Burkha,Triple Talaq aur Halala ke khilaf muhim chedi hai zanab",0
@SumitGopal1 oh bhai aap toh baht hi cool ho -.- #sarcasm,1
Nawaz Shreef or us dako  sirf  Lahoriyon ko cricket dikha ker vote le ge .,0
Strike tb hota unka himmat fir se n hota hamara army k jwaan Shaheed karne ka ... Vote ki politics h bhaiya,0
Khan sahab Triple Talaq ko koe nhi katam kar sakta but jo log galat tariqe se Talaq dete hai unko islamic shariya se hi Talaq dena hoga..,0
Thoda to sharm karo. Baat bachcho ki maut ki hai to gaay kahan se aa gayi? Responsible politics karo na ki wahi purani partiyon wali.,0
"UP Bihar mein Baba BanNe ki zaroorat hi Nahi padti... .Politics se kaam chal jata Hai , Wo bhi behtar !",0
Koi Muslim agar triple talaq ke khilaf bol de to use turant fatwa de dete he.par in kattar panth ke khilaf kabhi nai bolte.abi Bi wakt he,0
ek 8 pointer ko lagta hai ki uski cpi meri vajah se acchi. main khud ko inspire nahi kar paaya! #irony #iit,1
Seyasi ikhtilaf he jamhoriyat ki khobsurati hai likin Pakistan main is ko zatiyat tak liya jata hai. #democracy #politics,0
Pakistan wale barma k liye kuch karo ya bas cricket hi khelte raho ge shahid afridi,0
Bharti Media MS Dhoni Par Baras Parre MS.DH0NI Ameer Bane k liye Cricket Khil rahe hn Bharat me Ghareebon ko team se nazar andaz kar rahe he,0
Madam ji.. kabhi Mai bhi Modi Ko like karta tha.. but deer deer dekh rha hu.. Modi ji kuch Jada hi politics karne Lage hai,0
AAP KA AB POLITICS SAY KOI TALUQ NAHI AP HAMISHA K LIYA NAAHAL HO GAY HO ISI LIYA JAL RAHY HO MASHWARA MANO DOST BARNAUL LAGAOO,0
Vah vah Politics ...Yogi g aap ko to ye sab nyay dikhta hai.. or Muslims se to aap ko Nafrat hai pic.twitter.com/nX4wTwEDpQ,0
"@AamAadmiParty  Mazey ki baat dekhiye, Protest karne vale bhi #Gandhi ke follower aur todne wale bhi... Gandhian #Irony :)",1
Kabhi kisi gareeb cricket pleyar ko bat gift  Kar diya karo  ! Taarif paane ke liye afridi ko bekar dete ho,0
Agr in neta ke bachche mare hote to pata chalta par inke bachche to rape kar ke bhi aazad he ye he india ka politics,0
"Cut marna koi Umar se seekhay , nahi seekhay insey. Haha. #Sarcasm #PakiPeople",1
"vese bhi padhkar karna kya he in netaon ke bachho ko, aana to inhe politics me hi he.",0
"raju uncle chasma hata kar dekho..hatred muslims ke khilaf nhi hatred terrorism, triple talaq, shariya ke khilaf hai..",0
England ka to beda paar ho gaya lagta hai #Sarcasm,0
Sad-G late ho gaye #TripleTalaq ka faisla kuch din  pehle sunaya gaya tha par asha kartahu muslim aapka sahanbhuti jarur accept karengai,0
"Islam khatre main nahi, Islam ke naam par dukan chalane wale politics karne wale khatre main hain.",0
Lagta hai beta bada ho gaya hai..Aur jaldi hi politics me launch karne wale hain. #Virasat,0
"Is ayub ka dimag satak gya he, ye #TripleTalaq ka jalikatu se comparison kar rahi he, lagta he guthka ka overdose ho gya he",0
Main POOra Din &amp; Har Waqt CricKet DeKHta ReHTa Tha. JaB Aap Bache Hote Hain To Poora Din Khel Se Dil Hi Nahi Bharta. JaSparit BuMrah,0
69 lakh de dete to aj 5 cr na dene padte...aur sabi jaan bhi bach jate...jai ho hai politics....,0
Sir international cricket ke aayojan ka bhi kuch kijiye..aur Bihar  Cricket ke liye bhi,0
Hareem hadsa tha Allah ki taraf se tha. Ghalti jiski hai us se insaaf lein lekin jo chala gya uska naam le kar politics krna is shameful,0
Aur Halala aur Triple Talaq Pe boli kyu nahi Nikal rahi,0
Yogi ji apne vidhayakon ko kuchh kamm dein  Sirf feeta cricket match aur innaguration tak hi simit na rakhey,0
"@narendramodi Sir jab kisi ki apni Beti, Behan ke sath baba ka karnama aaega, jab dekhenge ki politics hoti hai Ya decision. Shame on think",0
WOW! Harshvardhan Kapoor begins prep for Abhinav Bindra biopic #cinemaghar #realcinemaghar #bollywood pic.twitter.com/Pm5MVXEsIl,0
Aa Gaya anpad ganwar aapni aukat m @yadavtejashwi tu filmo bhi flop tha or politics m bhi Kam se Dil ka to accha Insan Banta pr wo bhi nhi,0
Bharat me itne scam hue...or ..log khule ghum..rahe hain...kuch log politics me bachate chal rahe hain...sahi me Bharat ki nabj hain aap!,0
Kahin gau rakshak maare to Haye haye modi....triple talaq khatam to jai jai court....sahi hai tumhara,0
Kyun ravish ji... Aap bhi join  kro politics.. Ho sakta hai kuch Acha kr lo,0
Rane la ghetay rao  he jara jast zal...#Politics,0
Canadian ko itna bhaw matt diya kar khans khans hota hai aur baki sab bachhe hai...4 khans hi superstars hai bollywood ke baki sab stars,0
@narendramodi sir kirpya kar Bharat Australia cricket match DD national par live dikhaya jaye @DDNational  Ye pradhna hai vichar kijiyega,0
"Suna hai ki wo hoor aur koi nhi, Triple talaq ki victims hain... ""Ghoom phir ke fir wahi""",0
Politics me an India khud ke logo seeparesan hai kynoki sabhi party seva nahi rajbhog karana chahati hai .,0
Lalu G Resignation ki jagah agar ye kahte k aage aisi ghatna naa ho kuch kariye to samajh aata..  Magar inhe to to apni politics karni hai..,0
Ye DHONI tuja RAINA var BHAROSA nahi ka...  To le na usko CRICKET TEAM me jaate jaate achha kaam karke ja kuch to jara,0
"Is desh ke logo ko half shlok suna ke mohandas gandhi ne napunsak bana diya hai,ab ye politics ki bhasha hi samajhte hai",0
muslim mahilaon ke bachchon ko reservation digiye kya triple talaq hi mudda hai dusre mudde nazar nahi aarahe hain ya dikhnahi raha hai,0
Cricket ANISHCHITTAO KA KHEL HE #ViruPanti   UNHONI KO HONI KAR DE WOHI DHONI,0
"*Chinese President Twts in Hindi*  ""Kamino..Tumhra triple talaq aur Ram Rahim ka topic khatam ho jaye tho meri dhamki pur bhi focus Karna """,0
"#TripleTalaq kabhi kabhi sochati hun janwaro ki tarah inki halat hi ,par bardast to bhagwan se bhi jada hi Halala kaise sahti hogi ye log",0
"Quki Gandhi se. Politics Hoti hai, or bhaagt Singh se Desh bhakti tabhi to Gandhi hi Gandhi Charo or...",0
"""Dekhiye main coach isliyenahi ban paayakyonki jo bhi coach chunrahe the unsemera koi setting nahintha.""- Virender Sehwag #Cricket",0
cricket desh ke bachcho ko barbadi Ki aur le ja raha hai..,0
Arey yeh triple talaq  ka mudda  fr se thanda padd gya...,0
Kya rajniti hai congress ki batane ke liye kuch nahi bacha negetive politics des batne ki mat karo,0
#TripleTalaq Jashodaben ji ko Azadi Mubarak ! pic.twitter.com/GrZrN6Q4Rq,0
"Oye jyada politics naa kar,  usne sirf ek din ke liye ban lagaya hai,  taaki communal harmony bani rahe",0
"""Harr pal yahan jee bhar jiyo Jo hai samaa Kal Ho Na Ho"" - Title track  PART-1 #KHNH #SRK #Bollywood #SRKPreity #TheBestOfSRKpic.twitter.com/5BaQfqQEEj",0
Yaahn politics arooj pr aur khan sahb ko visit ki parhi hai,0
Ghar  @AnushkaSharma @iamsrk #anushkasharma #shahrukhkhan #JabHarryMetSejal #JHMS #bollywood #bollywoodactor #bollywoodactresspic.twitter.com/ev8vNLqOgN,0
Jis din khud par ayegi uss din bhi nanhi chitaaon par politics ki rotiyan sekna aur dusro par ungli uthana :),0
Gunde logon ko kyon politics main laate hain. Yeh to Paun ke joote ke kaabil bhi nahi hai. Shakal se waise hee choor hai,0
Uska paap ka ghada bhar gaya. Haquiqat ye hai Vote bank politics ne bachaya is aadmi ko,0
Triple talaq bhul gaye ji,0
Aur hame us ladki se jise cricket se pyaar hai...,0
Pakistan Kyun chale nahin jate sorry triple talaq wahan bhi ban hai.,0
Failed politics. Aap ka pas kuch karne k liye nahi hai toh aap Rahul gandhi ki aaloo ki factory me kaam kijiye.,0
politics aap ki bas ki baat nahi hai,0
"@imVkohli , Abe tujh se achcha toh women cricket team ki players khelti hain. Retire ho ja aur politics join kar le, wohi aata hai tujhe.",0
One girl is saved from triple talaq. Ek ladki apni gindagi se upor aagayi,0
Sabiq Bhaarti baly baaz Virender Sehwag ka kehna hai ke Bhaarti Cricket Board main talokaat na honay ki waja se team ka coach nahin ban saka,0
Yaar...koi mudda itna jaldi dab q jata hai..? Avi jisko dekho triple talaq k peechhe pare hain ?,0
Abi nahi pehle cricket bal lo phir shaadi karna . Phir shaadi hogi,0
Khan sb ko talaq ka tajurba ha PM ka ni koi unse poochay k cricket ma k pait se seekha tha jo bilawal se tajarba pooch raha ha,0
Yaar tu politics logo ke lie join Kia Ya modi ke lie ye Bata De tujhe Teri maa ki kasam,0
@amir_bollywood  sir Ji mere pas meri kahani hai,0
Tum bina burqa ke kaise ghoom rhi ho?. triple talaq ho gaya kya? .. halala kab karwana hai? #ReligionOfNoPeaceButTerrorism,0
"manoj tiwari tu bhojpuri filmo main hi rahe, politics tere bud ki baat nahi hai, pic.twitter.com/VpAQ9C5sp8",0
aise hi politics k logo ko bhi pakdo yaaro to saayad desh k baccho ka bhavishrya bana rahega.,0
bhai 0 bar kyun ki instant triple talaq abse band :-D :-D,0
Ckt News: S Ajmal  Sohail khan k BaaD Ab  Umar Akmal Aur SharJeel khan Ko Be Wajah Cricket se Door Kiya Ja Raha Hai J Miandaad  #A_R_Muhsin,0
Jo politics Mai hai unki to 300 Guna badh jati hai,0
Usi maa ke liye aap log burqa aur triple talaq khatam nahi karana chahate....sir kab ye khatam hoga.,0
waisebhi tumhare herone bollywood me konse jhande gade hai.aadhise jyada filme to flop hui hai.,0
Kya aapki mund budhi ko itna samachh nahi aa raha ki SC mein govt ko bhi apna stand batana tha aur govt ne triple talaq ke khilaf stand liya,0
"@mishrashiv Ramchandra keh gaye siya se,aisa kaljug ayega...Jiski hogi lathi, bhains wahi le jayega. Sach hai na bilkul. :)) #sarcasm",0
bichari ko bhej do wahan yahan khajjudeep se cricket team na ba pa rahi hai,0
Bihar ki cricket team kaafi saalon se Ranji nahi khel rahi.. Kisi International stadium ka nirmaan karein aur iss par please dhyaan de,0
Hum kyo jalenge hum to khush hai ki pak cricket shuru huwa khel hai aur indvspak bhi ho  Es se bada maja aur nhi .bus terrorism khatm karo,0
"Resignation: Athigaaramikkavargal, Aarvaalargalin Kadum Vimarsanam. Sanath Jayasurya, Sri Lanka Cricket'in Therivu Kulu Padhavi Vilagiyathu",0
Poetry tak Aap achay Ho baaki politics main na jaaen To acha hai,0
Jesy ab Politics hum Kr rahe hen aise Jeet skte hen. gundo badmashu Ko Party me La Kar. Or zyada lane Pare ge.,0
"Koi or kaam nahi hai kya , jab dekho twiter par faltu baate lekar bethe rehte ho , apne bollywood par dhyan do sayad kuch acha kar pao",0
Aaj ke din bhi politics. Piles hua hai ke?,0
Aapki kavita se hi jhalakta hai ki aap dalali pe Jada dhayan dete ho.hatek jagah politics ghusa dete ho aaplog..kuch achha socho sir..,0
Hahahaha ab wahi ek dwaar bacha b hua h #PresidentialElections2017 #LKAdvani #BJP #Sarcasm,1
Akhilesh ji...Hath jod k prathna hai aapse budhe ho gye ho mrne ki age hai.. jyada musalmano ka sat dena bandh kro..plssss no politics,0
Jab aam admi @LambaAlka ke virodh me sach bolne wale ko block Karna kya unki politics hoti hai Toh kyu AAP ko support karna,0
Abe kya chutiya samaj rakha h kya? Tumhare mantri Kapil sibbal #TripleTalaq k sath tha...wo hi mukdma lad raha tha,0
"Cow, Love Jihad, Triple talaq yahi to Desh ke asli mudde hai",0
"Bhaijaan mahesh hi kyu , pura ka pura bollywood khali baitha hai yaar, sab flop hai , kaam dhund rahe hai , jise chahe le lo yaar",0
Kitne halala ki paidais hain Jo halala AUR triple talaq KO support karte hain. Dharm ke naam par,0
Yaa sabuut ha Ke loog politics ka liya dharam ko kitna use karta ha,0
bhagny aur maal bacahye ki koshish ho rahi hai politics choir deen gy,0
Baadsha udhaar ka nasib leke nahi aaya usne apni kismat khud banaai hai ) aur ye sacchi hai Akshay kumar sir self made superstar bollywood,0
Triple talaq par bhi bol poonawale,0
"Politics ko aaj tk ham samajh nahi ske,aur smjhna bhi nahin chaahate hai,kab ye neta ek ho jaye.",0
Ye CONGRESS ke maut ke dalal kabhi bhi Is hospital me patients ko milne nahi gye.aur aaj manhoos ki tarah politics karne ko Chale gaye.shame,0
Aise hi hai ji duniya. Sanjay singh UP pahuch gaye par 3 aur phir do logo ki delhi me gutter saaf karte hue. Politics hi to khel rahe hai,0
triple talaq inke liye zaroori hai,0
Imran khan ko politics ki samajh nahi hay to yey haal kiya hay in dono ka. Socho ager aa gaye to kiya hoga,0
Tripletalaq se pirit muslim Mahila bhi ise Dowry ke Karan apamanit hote he.,0
Hamare PM saab ko ye kyun samajh me nahi aata..ki aur bhi Mudde hai zamane Triple Talaq k siwa.. Hamari fikr hai to 15 lakh accnt me dedo,0
"Jo dehshat gardi kertay hain voh Taliban nahi hain, Taliban to sweet sweet dodh peetay bachay hain! #ExcusesForSavingTaliban #sarcasm",1
Yeh ramrahim ke gunde cricket me bhi pahoch Gaye Kya,0
aabe suwwar yaha cricket ki baat ho rahi hai,0
"Shayara Bano, Ishrat Jahan, Atiya Sabri, Gulshan Parveen & Aafreen Rehman. 5 strong women who made possible. #TripleTalaq #FundamentalRightspic.twitter.com/adAK1w4dM8",0
Waqt aur Log app ko sub kuch seekha detay hain ... #irony,0
Shok santapt pariwar ko kuchh muawaja mila kya.sattarudh party ya vipakshh ne kuchh diya kya.ya kewal lash pe politics hi hoga,0
Kal tak jo triple talaq par muslim womens ko badhai de rhe the. Aaj apni dono sadhviyon pe chup hain. Unka hausla kaun badhayega?,0
Neta g politics band karo aur jake flood ko check karo. Log khana pine ka pani ke liye mar rahe he. Mobile network bhi kam nahi karta he,0
#KhattarMustResign @AmitShah aap log desh se bde nhi.Koi morality hti h politics mein.Aap ko pura support mila desh ka.aur aaj ek resign nhi,0
4th odi match win ke liye Indian cricket team ko badhai.&virat kohli ko man of the match ke liye badhai.,0
Bharati Women Cricket Ki Captain Ko Bold Tasveer Share Karny Par Tanqeed Ka Samna.,0
Agr sharif honest hoty to 2013 me gov apko hoti. Najam Sethi ko isy Bayemani Ki waja se Nawaza ja rha. Jis ka cricket se door ka wasta nai.,0
"Bhai @iamsrk ki Raees dekhne chalein? ""Bro paise nahi hain."" #irony #Raees #MonthEnd",1
Yaayyy math -.- #sarcasm,0
"@libyanfsl mashaa Allah, najeehum ya rabi #sarcasm",0
Inko news channel wala Dhundhh raha  Triple talaq par Debate thha pic.twitter.com/2BnouRHNqP,0
Ye dancer ka kya role hai politics me aur bhajpa bhagao desh bachao me ... Saalo ye likhna chahiye.. laaloo bhagao ya khud  ko bachao...,0
Muslimo me triple talaq hota lekin hindu behno ka bhi socho Modi ki Biwi ko insaaf kab dilaunge .,0
Triple talaq se jyada jruri have vyapari ki suraksha pic.twitter.com/qQRxMgZP1D,0
